crypto_name,date,price,market_cap,volume,ingestion_timestamp
ethereum,2026-02-16 15:03:43.058,1972.646148919403,237960087187.70804,25166022220.41115,2026-03-03 01:20:38.901373
ethereum,2026-02-16 16:02:53.278,1955.7902200449637,236053967128.98062,24612596830.53722,2026-03-03 01:20:38.901374
ethereum,2026-02-16 17:02:54.853,1971.803702153238,237860665303.99686,24587363221.211693,2026-03-03 01:20:38.901379
ethereum,2026-02-16 18:02:29.622,1978.1444308699288,238745967070.25836,24720744902.12737,2026-03-03 01:20:38.901380
ethereum,2026-02-16 19:03:56.479,1968.4247197936131,237560310100.65164,21904430073.526917,2026-03-03 01:20:38.901381
ethereum,2026-02-16 20:03:26.821,1973.2545199920798,238183840312.66595,19950036534.352848,2026-03-03 01:20:38.901382
ethereum,2026-02-16 21:03:27.312,1991.521898373786,240306386404.7119,19246766359.78998,2026-03-03 01:20:38.901382
ethereum,2026-02-16 22:04:25.079,1997.637849471219,241335776944.73242,19746023225.788486,2026-03-03 01:20:38.901383
ethereum,2026-02-16 23:02:50.528,1990.1415051857539,240228460510.14392,20015231093.75156,2026-03-03 01:20:38.901384
ethereum,2026-02-17 00:03:21.358,1997.6176245178935,241130588265.7972,18865560621.24518,2026-03-03 01:20:38.901385
ethereum,2026-02-17 01:02:17.662,1997.743430678263,241163592451.52875,16674700891.24921,2026-03-03 01:20:38.901386
ethereum,2026-02-17 02:02:36.319,1991.1795134463807,240408179226.2416,18983024174.181675,2026-03-03 01:20:38.901387
ethereum,2026-02-17 03:03:35.116,1998.03134716245,241547043528.137,18756989416.099953,2026-03-03 01:20:38.901387
ethereum,2026-02-17 04:00:00.983,1988.5605161526614,240033668392.31686,18507081182.66696,2026-03-03 01:20:38.901388
ethereum,2026-02-17 05:02:10.556,1988.198582323102,239851895372.12604,18737216313.37761,2026-03-03 01:20:38.901401
ethereum,2026-02-17 06:03:24.286,1974.5225683219364,238285285880.24515,18797571686.610413,2026-03-03 01:20:38.901402
ethereum,2026-02-17 07:00:01.091,1981.5385032446823,239181110313.73456,21498779781.076603,2026-03-03 01:20:38.901403
ethereum,2026-02-17 08:02:51.790,1984.9934598886998,239676129488.05838,18736471298.54499,2026-03-03 01:20:38.901404
ethereum,2026-02-17 09:02:02.314,1975.8413176132808,238375978491.1373,18880317595.086887,2026-03-03 01:20:38.901405
ethereum,2026-02-17 10:01:57.170,1974.6293933827178,238318734341.85837,18712515536.29001,2026-03-03 01:20:38.901405
ethereum,2026-02-17 11:02:17.998,1966.2850210591719,237143341461.7061,18225860774.27557,2026-03-03 01:20:38.901406
ethereum,2026-02-17 12:00:36.866,1967.222227403676,237504905966.83466,18431636894.456062,2026-03-03 01:20:38.901407
ethereum,2026-02-17 13:01:45.844,1968.653914637936,237487891384.93393,18199326931.850826,2026-03-03 01:20:38.901410
ethereum,2026-02-17 14:02:14.807,1989.5390164057962,240122319303.20044,17476700896.50971,2026-03-03 01:20:38.901411
ethereum,2026-02-17 15:02:31.385,1948.2468264255663,235282378354.26022,19151156332.952705,2026-03-03 01:20:38.901412
ethereum,2026-02-17 16:01:17.394,1965.8775191074692,237076551776.1962,18601159252.172573,2026-03-03 01:20:38.901413
ethereum,2026-02-17 17:00:44.208,1980.931127895006,239117867453.69205,19836015057.068966,2026-03-03 01:20:38.901414
ethereum,2026-02-17 18:02:46.903,1964.3265868897981,237021882539.7727,20337143646.63493,2026-03-03 01:20:38.901415
ethereum,2026-02-17 19:03:19.434,1998.9440489431877,241660796352.456,23832173572.06051,2026-03-03 01:20:38.901416
ethereum,2026-02-17 20:01:06.795,1998.3215175183127,241413744566.09302,21721998718.00768,2026-03-03 01:20:38.901416
ethereum,2026-02-17 21:02:11.108,1994.2791983086454,240818802377.21823,21183730736.18149,2026-03-03 01:20:38.901417
ethereum,2026-02-17 22:03:10.918,1998.9963292280947,241233674412.8871,19975734533.905994,2026-03-03 01:20:38.901418
ethereum,2026-02-17 23:02:25.231,1992.8749133537472,240549384824.66922,20697895276.56023,2026-03-03 01:20:38.901419
ethereum,2026-02-18 00:02:26.948,1991.0327005148895,240465996069.09854,21389737324.930492,2026-03-03 01:20:38.901420
ethereum,2026-02-18 01:02:17.479,1980.9220809979959,239127820840.47388,20643179469.251034,2026-03-03 01:20:38.901421
ethereum,2026-02-18 02:01:50.383,1976.1940025276774,238357443832.72122,19641281869.625103,2026-03-03 01:20:38.901421
ethereum,2026-02-18 03:01:46.158,1986.996322348644,239819125840.56683,20607680073.13574,2026-03-03 01:20:38.901422
ethereum,2026-02-18 04:00:17.019,1997.5494960105796,241180851922.099,24664088609.826485,2026-03-03 01:20:38.901423
ethereum,2026-02-18 05:01:46.825,1997.3550558268312,241067650880.2134,21448986061.431435,2026-03-03 01:20:38.901424
ethereum,2026-02-18 06:01:35.106,1995.423342204643,240874868009.66037,20274620946.6314,2026-03-03 01:20:38.901425
ethereum,2026-02-18 07:00:24.048,2001.265488740971,241695191679.63593,20179771315.569054,2026-03-03 01:20:38.901426
ethereum,2026-02-18 08:01:33.673,2017.3000485909101,243507040441.86005,21639792467.313286,2026-03-03 01:20:38.901428
ethereum,2026-02-18 09:01:01.069,2019.4253543448633,243751993444.70892,21602609379.459476,2026-03-03 01:20:38.901429
ethereum,2026-02-18 10:03:33.197,2015.6431365165718,243302949817.75064,21652962600.526817,2026-03-03 01:20:38.901430
ethereum,2026-02-18 11:02:33.899,1995.7136626060264,240922488005.13864,20357045020.54075,2026-03-03 01:20:38.901431
ethereum,2026-02-18 12:03:03.154,1981.2138173123924,239825159692.68472,23315931543.80707,2026-03-03 01:20:38.901432
ethereum,2026-02-18 13:01:52.103,1982.3948918302997,239464481864.4058,25471223686.308422,2026-03-03 01:20:38.901432
ethereum,2026-02-18 14:02:45.821,1969.6210791786991,237085533601.1573,23687085138.223328,2026-03-03 01:20:38.901433
ethereum,2026-02-18 15:00:55.410,1972.2893815903544,237908941172.98776,22402423170.542473,2026-03-03 01:20:38.901434
ethereum,2026-02-18 16:02:19.992,1984.4031662590487,240161976874.10916,21942855984.61023,2026-03-03 01:20:38.901435
